Reference,Quantity,Part,Value/Rating,Notes
BAT1-BAT3,3,AA NiMH rechargeable cells,1.2V 2000mAh typ,Low-self-discharge recommended
BH1,1,3xAA battery holder,,With leads
SOL1-SOL3,2-3,Indoor solar panel,2V 20-40mA each,Wire in parallel; keep total Isc <= ~80mA
D1,1,Schottky diode,1N5819,Prevents reverse battery discharge into panels
U1,1,Quad Schmitt NAND,CD4093,DIP-14
LDR1,1,Photoresistor,~10k bright / ~1M dark,GL5528 or similar
RV1,1,Potentiometer,500k linear,Dusk threshold adjustment
R_fade,1,Resistor,470k 1/4W,Fade charge resistor
C_fade,1,Electrolytic capacitor,100uF >=10V,Fade storage capacitor
R_osc1 R_osc2,2,Resistor,1M 1/4W,Oscillator timing resistors
RV2 RV3,2,Trimmer potentiometer,100k,Twinkle speed trim
C_osc1 C_osc2,2,Capacitor,0.47uF film,Oscillator timing caps
Q1 Q2 Q3,3,NPN transistor,2N3904,Low-side LED drivers
R_b1 R_b2 R_b3,3,Resistor,47k 1/4W,Base resistors
D_t1 D_t2,2,Signal diode,1N4148,Twinkle daylight clamp diodes
D_s1-D_s6,3-6,Warm white LED,3mm/5mm diffused,Steady bank
D_t1-D_t14,8-14,Warm white LED,3mm/5mm diffused,Twinkle banks
R_Ls,3-6,Resistor,1.5k 1/4W,Steady LED current limiters
R_Lt1 R_Lt2,8-14,Resistor,2.2k 1/4W,Twinkle LED current limiters
C_dec,1,Ceramic capacitor,0.1uF,Place near CD4093 VDD/GND
